,Unnamed: 0,county,risk,statename,stateAbbrev
365,13565,NewLondonCounty,33.5672680598958,Delaware,DE
366,13568,BristolCounty,33.4818753800318,Delaware,DE
367,13569,LitchfieldCounty,33.474061592523604,Delaware,DE
368,13572,MiddlesexCounty,33.385947395857,Delaware,DE
369,13577,WashingtonCounty,33.302943004485,Delaware,DE
370,13582,WindhamCounty,33.1575933653021,Delaware,DE
371,13586,TollandCounty,33.123324922955106,Delaware,DE
372,13589,NewportCounty,33.0731648027735,Delaware,DE
373,13769,FairfieldCounty,29.1443959607623,District of Columbia,DC
374,13771,HartfordCounty,29.078470459566002,District of Columbia,DC
375,13772,LitchfieldCounty,29.0671584857286,District of Columbia,DC
376,13773,NewHavenCounty,29.032082855088,District of Columbia,DC
377,13774,ProvidenceCounty,28.989781309033198,District of Columbia,DC
378,13785,TollandCounty,28.696766571546803,District of Columbia,DC
379,13799,NewLondonCounty,28.3469788824437,District of Columbia,DC
380,13848,NewportCounty,26.9439983696202,District of Columbia,DC
381,13851,KentCounty,26.885970339043002,District of Columbia,DC
382,13903,PrinceGeorge'sCounty,63.334950463735,District of Columbia,DC
383,13904,DistrictofColumbia,62.040690624973095,District of Columbia,DC
384,13914,ManassasParkCity,57.5174807763989,District of Columbia,DC
385,13925,PrinceWilliamCounty,54.8319701786891,District of Columbia,DC
386,13935,MontgomeryCounty,53.54414490954701,District of Columbia,DC
387,13945,DistrictofColumbia,52.8622768970793,Florida,FL
388,13947,PrinceGeorge'sCounty,52.809371633227386,Florida,FL
389,13962,PrinceWilliamCounty,51.8994008427322,Florida,FL
390,13967,MontgomeryCounty,51.5049542003384,Florida,FL
391,13988,ManassasCity,49.9858589148703,Florida,FL
392,14021,FairfaxCounty,48.2914296576351,Florida,FL
393,14137,LoudounCounty,43.9068836556164,Florida,FL
394,14140,AlexandriaCity,43.8589423479002,Florida,FL
395,14187,ArlingtonCounty,42.59793774150229,Florida,FL
396,14238,ManassasParkCity,41.379793816496786,Florida,FL
397,14386,FairfaxCity,38.34512782536071,Florida,FL
398,14636,FallsChurchCity,34.2799847207159,Florida,FL
399,15025,EscambiaCounty,71.4534960185883,Florida,FL
400,15026,ColumbiaCounty,70.51345959801981,Florida,FL
401,15027,PutnamCounty,69.1862909721937,Florida,FL
402,15028,JacksonCounty,67.7255324540245,Florida,FL
403,15029,LeonCounty,67.4411049599582,Florida,FL
404,15034,DuvalCounty,65.2460890844707,Florida,FL
405,15045,HamiltonCounty,62.209149437069904,Florida,FL
406,15050,MarionCounty,61.0292093308189,Florida,FL
407,15052,OkaloosaCounty,60.8035979956174,Florida,FL
408,15053,MadisonCounty,60.6576461414178,Florida,FL
409,15055,DixieCounty,60.6297166963151,Florida,FL
410,15061,GadsdenCounty,60.1127353675978,Florida,FL
411,15079,JeffersonCounty,58.170327001108895,Florida,FL
412,15080,TaylorCounty,58.0422422792429,Florida,FL
413,15081,SuwanneeCounty,58.0083184614734,Florida,FL
414,15093,BayCounty,56.784127656798496,Florida,FL
415,15094,BradfordCounty,56.6614567854766,Florida,FL
416,15099,AlachuaCounty,56.2749337399756,Florida,FL
417,15106,GilchristCounty,56.0331708445066,Florida,FL
418,15123,WaltonCounty,54.99852621374021,Florida,FL
419,15138,LevyCounty,54.356669110355796,Florida,FL
420,15140,St.JohnsCounty,54.249791005761786,Florida,FL
421,15141,HolmesCounty,54.129188572267196,Florida,FL
422,15159,LibertyCounty,53.1161386359159,Florida,FL
423,15168,SantaRosaCounty,52.746042376031596,Florida,FL
424,15195,UnionCounty,51.8154987649028,Florida,FL
425,15215,ClayCounty,50.923333463567296,Florida,FL
426,15220,GulfCounty,50.7771218561866,Florida,FL
427,15223,CalhounCounty,50.649551143744795,Florida,FL
428,15245,NassauCounty,49.4556912147126,Florida,FL
429,15271,WashingtonCounty,48.0391430148172,Florida,FL
430,15318,FranklinCounty,46.163446265117706,Florida,FL
431,15323,BakerCounty,46.006139677036714,Florida,FL
432,15344,WakullaCounty,45.42138955765471,Florida,FL
433,15352,LafayetteCounty,45.15233196228461,Florida,FL
434,15781,PalmBeachCounty,69.696097962663,Florida,FL
435,15784,BrowardCounty,64.32142841337361,Florida,FL
436,15794,OkeechobeeCounty,60.045842522022106,Florida,FL
437,15795,LeeCounty,59.7756255565905,Florida,FL
438,15799,MonroeCounty,59.0299302024079,Florida,FL
439,15801,St.LucieCounty,58.406864480593995,Florida,FL
440,15805,Miami-DadeCounty,57.5033339533189,Florida,FL
441,15812,CollierCounty,56.1614127358362,Florida,FL
442,15819,HendryCounty,55.4078153453156,Florida,FL
443,15848,HighlandsCounty,52.6066070706452,Florida,FL
444,15936,GladesCounty,48.6807836157131,Florida,FL
445,16007,MartinCounty,46.5231103090609,Florida,FL
446,16098,IndianRiverCounty,44.451944821675795,Florida,FL
447,17391,PinellasCounty,75.0420075178462,Florida,FL
448,17392,HillsboroughCounty,71.1152986160095,Florida,FL
449,17393,VolusiaCounty,69.63731897966039,Florida,FL
450,17394,OrangeCounty,68.7395186552217,Florida,FL
451,17397,SeminoleCounty,66.8153860444695,Florida,FL
452,17402,HernandoCounty,66.0853466605536,Florida,FL
453,17409,PolkCounty,64.1678750001059,Florida,FL
454,17414,ManateeCounty,62.8314331146487,Florida,FL
455,17415,LakeCounty,62.73562818046,Florida,FL
456,17450,BrevardCounty,58.27160031146671,Florida,FL
457,17452,SarasotaCounty,57.8875817880836,Florida,FL
458,17459,DeSotoCounty,57.0942351803123,Florida,FL
459,17461,PascoCounty,56.8596117882886,Florida,FL
460,17474,CitrusCounty,56.15138468891,Florida,FL
461,17479,OsceolaCounty,55.899908501328895,Florida,FL
462,17480,CharlotteCounty,55.8954599313889,Florida,FL
463,17495,SumterCounty,55.281340469776104,Florida,FL
464,17503,HardeeCounty,54.952024103981294,Florida,FL
465,18027,FlaglerCounty,44.5341182474159,Florida,FL
466,18097,PinellasCounty,43.585062307262795,Georgia,GA
467,18098,BrevardCounty,43.5685741137765,Georgia,GA
468,18099,OrangeCounty,43.5611717283214,Georgia,GA
469,18100,HillsboroughCounty,43.5542603384764,Georgia,GA
470,18101,VolusiaCounty,43.552464370047204,Georgia,GA
471,18103,PolkCounty,43.5250972949459,Georgia,GA
472,18113,PascoCounty,43.3808034834149,Georgia,GA
473,18114,SumterCounty,43.374461124391296,Georgia,GA
474,18118,CitrusCounty,43.3131518319197,Georgia,GA
475,18126,SarasotaCounty,43.2383414395535,Georgia,GA
